OBJECTID,Sistema_de_Transporte,PK,POINT_M,NEAR_FID,NEAR_DIST,GlobalID,Latitud,Longitud
1,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K131+500,131500,71,0.369587989062309,{41380437-804B-4332-81DC-CEC667176FD0},3.79635203133046,-76.3958087077993
2,"Poliducto Galan - Salgar de 12"""" | Sebastopol - Salgar 12""""",K238+500,238500,110,0.106655130151027,{F45ACB6F-960B-45BF-9E17-9DA5B4A0C82A},5.57002795455724,-74.6249169884659
3,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K193+500,193500,65,0.635900396090254,{4F43E60E-2E42-4B59-8C13-47C9A272FD57},5.90157081760395,-74.5739260812605
4,"Poliducto Galan - Salgar de 12"""" | Galan Sebastopol 12""""",K106+000,106000,67,0.214517681040512,{E26D36B9-6F71-46CD-AE2E-B9EB2DE2853F},6.51525233030497,-74.3166244802488
5,Poliducto de Oriente | Sutamarchan - Tocancipa,K215+000,215000,60,0.761407328837902,{7752234B-5267-4C3A-94DE-08C2999AD52E},5.37799279680079,-73.6624827287321
6,Poliducto Medellin-Cartago-Yumbo | La Felisa - Cartago,K203+500,203500,31,0.787326708625358,{B7500B1A-E510-4932-A2BD-6C9833003F95},4.92706351725667,-75.7971680293927
7,"Poliducto Galan - Salgar de 12"""" | Sebastopol - Salgar 12""""",K166+500,166500,110,0.187333284170078,{FEFA0778-FC9D-4FB0-9BEC-4D55555DB1A4},6.14779746818166,-74.5695091001297
8,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K445+500,445500,64,0.269105099989795,{E0692E77-CDA0-4206-8295-0D8D412601F0},7.56380608969561,-73.5980229254339
9,Poliducto de Oriente | Sutamarchan - Tocancipa,K183+000,183000,60,0.259483327267757,{864364DA-F3B5-4332-92EC-AED4DAB8A4AA},5.59721988927016,-73.6254690100888
10,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K17+000,17000,112,0.806214359202996,{DD40CF97-F0AF-4125-8058-CAD7FD1F50EB},6.29553387196084,-75.6460817714881
